municipality,weather_variable,correlation
Brecht,temperature,0.5168828583302817
Brecht,precipitation,-0.4039904195511642
Brecht,wind_speed,-0.3666920063229228
Brecht,sunshine_duration,0.6014814878510831
Brecht,precipitation_hours,-0.49624454394165496
Bree,temperature,0.35532731052301614
Bree,precipitation,-0.2580223703293755
Bree,wind_speed,-0.28298664726839373
Bree,sunshine_duration,0.4032189054112513
Bree,precipitation_hours,-0.35065204386305465
Brugge,temperature,0.25437510295096455
Brugge,precipitation,-0.1727459568260862
Brugge,wind_speed,-0.2300314771040019
Brugge,sunshine_duration,0.2371916656291294
Brugge,precipitation_hours,-0.23440461474094415
Deinze,temperature,0.3603875474891469
Deinze,precipitation,-0.3377898210734951
Deinze,wind_speed,-0.27779008281991613
Deinze,sunshine_duration,0.4426104265651908
Deinze,precipitation_hours,-0.4206662965284357
Dendermonde,temperature,0.3383843250874232
Dendermonde,precipitation,-0.3011137933919954
Dendermonde,wind_speed,-0.20794697413747792
Dendermonde,sunshine_duration,0.4028865858191438
Dendermonde,precipitation_hours,-0.36867805266826575
Diest,temperature,0.5050884090825714
Diest,precipitation,-0.27407233104898565
Diest,wind_speed,-0.2996788349284913
Diest,sunshine_duration,0.5223553329023183
Diest,precipitation_hours,-0.38059959080403927
Evergem,temperature,0.25971914587375755
Evergem,precipitation,-0.22832726287563537
Evergem,wind_speed,-0.26243255638823687
Evergem,sunshine_duration,0.2704650758713321
Evergem,precipitation_hours,-0.29270149282445257
Geel,temperature,0.2423213592162292
Geel,precipitation,-0.24207423066791978
Geel,wind_speed,-0.21794013468183943
Geel,sunshine_duration,0.3304048207879478
Geel,precipitation_hours,-0.3200534467283507
Genk,temperature,0.6468256713328225
Genk,precipitation,-0.3334679993860382
Genk,wind_speed,-0.3585936389594021
Genk,sunshine_duration,0.6565740996903896
Genk,precipitation_hours,-0.4597417179121263
Gent,temperature,0.1106860073097086
Gent,precipitation,-0.14672867149668528
Gent,wind_speed,-0.21309174180836135
Gent,sunshine_duration,0.14062444468874363
Gent,precipitation_hours,-0.19274700714535875
