municipality,weekday,daily_count
Dendermonde,Saturday,1523.9371727748692
Dendermonde,Sunday,1441.609375
Dendermonde,Thursday,2627.9375
Dendermonde,Tuesday,2660.578125
Dendermonde,Wednesday,2641.1145833333335
Diest,Friday,591.3930348258707
Diest,Monday,564.8805970149253
Diest,Saturday,561.8811881188119
Diest,Sunday,320.4776119402985
Diest,Thursday,556.9701492537314
Diest,Tuesday,589.0597014925373
Diest,Wednesday,625.4626865671642
Evergem,Friday,675.0875706214689
Evergem,Monday,714.4107648725212
Evergem,Saturday,336.5552407932011
Evergem,Sunday,270.59773371104814
Evergem,Thursday,740.3757062146892
Evergem,Tuesday,793.6600566572238
Evergem,Wednesday,756.0028328611897
Geel,Friday,1886.2475247524753
Geel,Monday,1967.7425742574258
Geel,Saturday,927.7920792079208
Geel,Sunday,746.6980198019802
Geel,Thursday,2025.6386138613861
Geel,Tuesday,2207.0
Geel,Wednesday,2123.559405940594
Genk,Friday,156.0310734463277
Genk,Monday,148.77620396600565
Genk,Saturday,155.6497175141243
Genk,Sunday,166.40793201133144
Genk,Thursday,167.0677966101695
Genk,Tuesday,155.72804532577905
Genk,Wednesday,164.22662889518415
Gent,Friday,1950.4378531073446
Gent,Monday,2049.317280453258
Gent,Saturday,1145.5338983050847
Gent,Sunday,985.4192634560907
Gent,Thursday,2146.129943502825
Gent,Tuesday,2241.0056657223795
Gent,Wednesday,2183.988668555241
Gierle,Friday,268.728323699422
Gierle,Monday,269.95375722543355
Gierle,Saturday,176.60115606936415
Gierle,Sunday,164.52906976744185
Gierle,Thursday,264.71098265895955
Gierle,Tuesday,289.91329479768785
Gierle,Wednesday,294.16184971098266
Grimbergen,Friday,314.70238095238096
Grimbergen,Monday,363.22709163346616
Grimbergen,Saturday,194.40873015873015
Grimbergen,Sunday,257.8605577689243
Grimbergen,Thursday,392.0912698412698
Grimbergen,Tuesday,415.46215139442234
Grimbergen,Wednesday,370.49003984063745
Hamme,Friday,469.41269841269843
Hamme,Monday,500.021164021164
Hamme,Saturday,280.30687830687833
Hamme,Sunday,304.86772486772486
Hamme,Thursday,507.2857142857143
Hamme,Tuesday,554.4126984126984
Hamme,Wednesday,528.5079365079365
Hasselt,Friday,6620.768292682927
Hasselt,Monday,5922.115853658536
Hasselt,Saturday,4677.371951219512
